1,2,3,4,5
"이건 너무 재미없잖아. 좀 더 솔직해 지라구, 응!.",사실은... 오늘은... 살고 싶었어… 딸아이랑 오랜만에 얘기를 하고 싶었거든.,이런... 안타까운 걸? 나.. 니 딸 잘 알아.. 예쁘더군… 먼저 가 기다리면 곧 보내줄게.,낙뢰를 어떻게 맞으셨나요?,우산을 쓰고 있었는데 머리 위로 떨어졌어요. 
패장은 말이 없다.....이건가?,"면목이 없습니다만, 이번 경기는 국가대표로 차출된 애들 때문에 전력에 차질이 많았습니다.",그건 반대도 마찬가지잖아.,빠진 사람이 몇명이나 있나요?,차량 1대정도 빠졌어요. 
"아이씨, 진짜 독하네. 눈을 못 뜨겠어.",우리나라 최루탄 품질은 세계적으로 알아준대요. 수출까지 한대잖아요.,데모하는 놈도 데모막는 놈도 맘에 안들어.,알겠습니다. 다친사람은 없나요?,보질 못해서 잘 모르겠습니다. 
아! 경리과에 가서 출장비 청구 넣은 것 좀 받아와라!,부장님 어디 가십니까?,그러는 너는 어디 가냐?,지금도 그 자리에 있나요?,아니요. 지금 한강진역 쪽으로 이동했습니다. 
실속 없는 놈들끼리 몰려다니지 말고 얼른 장가나 가.,나 결혼하면 엄마 심심하잖아.,너 때문에 내가 연애도 못해.,위치가 어딘지 알 수 있을까요?,강남역 3번 출구 안쪽 골목길이요. 
"부장님, 몸은 괜찮으십니까?",목숨 건진 것만해도 어디냐.,그 똥차 불안불안했어요. ,혹시 키는 작았나요?,네 작았습니다. 
"으아, 광주 최루탄은 더 맵네. 너는 괜찮냐? 멀쩡하네?",코로 들이마시면 나을거에요.,"너는 무슨 치약을 다 갖고 다니냐? 하, 인제 좀 살겠다. 얼마 만에 보는 거지? 6년? 7년?",사라진 물건이 있나요?,"네, 지갑이랑 카메라가 사라졌어요. "
"형, 여기서 뭐해요?","응, 스포츠 교실 교사 모집하길래 내가 한다고 그랬어.",형 서울 올라가야 하잖아요.,알겠습니다. 신고자분 성함을 알 수 있을까요?,홍길동 입니다. 
저 사람 왜 그래?,"세미나하다가 논쟁이 붙었는데, 혼자 흥분해서 그래요.","야, 좋게좋게 살어. 왜 괜히 적 만들고 그래.",남성이 어떻게 난동을 부리고 있나요?,이제 곧 가게문을 닫아야 하는데 돈을 안내겠다고 테이블을 엎고 난리났어요. 
"야, 그 사람 얼른 봐도 과거가 의심스럽드라. 어깨에 문신자국도 있던데?",그래도 그 분 순수해요.,"너 좀 정상적인 남자 좀 만나라, 응? 그냥 멀쩡한 직장 다니는 샐러리맨 만나서 결혼해!",지금 신고자분 위치는 어디신가요?,야탑역 1번 출구 입니다. 빨리 구급차좀 보내주세요. 
나 선생이랑 교제한지 이제 딱 한 달 됐소. 그럼 지금이 딱 좋을 때 아니오? 그런데 그대가 등장한 후로는 진도가 안 나가요.,왜 저 땜에? 저는 선생이랑 아무런 관계도 아닙...,대학 댕길 때 사귀었담서?,맷돼지 크기가 얼만한가요?,엄청커요. 한 1m 정도 되는거 같아요. 
... 어젠 미안했다.,"형, 얼른 서울로 돌아가세요.","야, 아직 얼굴도 못 봤는데...",알겠습니다. 일단 쏘인 부분을 긁지 마시고 바닷물로 씻어내세요. ,알겠습니다. 
"뭐야, 또 너냐?",아버님!! 따님과의 결혼을 허락해주십쇼!,"아이고, 우리 딸 지금 대학생인데 뭔 결혼을 해? 정신 좀 차려라.",파손된 상품이 뭔지 알 수 있을까요?,페라리 89 슈퍼 패스트 차량이요. 
"오메, 깜짝이여.",너 사투리 쓰는 거 진짜 오랜만에 듣는다.,사람 민망하게 이게 뭐예요.,어떻게 폭행을 당하셨나요?,주먹으로 가슴과 얼굴을 수십대 맞았습니다. 빨리좀 와주세요. 
나 국민학교때 전교 부회장 선거 나간 적이 있거든요.,그때 후보연설에서 이런 얘기를 했어요. “저는 제 몸을 녹여서 여러분을 밝히는 촛불이 되고 싶습니다!”,"무슨 국민학생이 그런 말을 다하냐, 재수없게.",무엇을 훔치려고 했죠?,명품 핸드백을 바꿔치기 하려고 했어요. 
너 아까 얘기 하는 거 보니까 사투리 너무 심하더라.,저도 고치려고 하는 데 잘 안되네요~,사투리 고치는 가장 좋은 방법이 뭔지 알아?,진짜 총이였나요?,네. 권총이였어요. 
그때... 너 왜 사라진 거냐?,꼭 이유가 있어야 되나? 형이 싫어졌나보지.,그래... 그래서일 줄 알았어. 그거면 됐지 뭐. 그래도... 인사라도 하고 가지… 갈란다. 통금시간 되겠다.,다친사람은 없나요?,"아직까지는 없는데, 총때문에 밖을 나갈수가 없어요. "
"형, 왔어요?",누구 환갑잔치야?,우리 엄마 환갑이세요.,지금 아버지 상태는 어떠신가요?,지금 정신을 잃으셨어요. 숨을 가쁘게 쉬고 있어요. 빨리좀 와주세요. 
"자네, 저거 불 좀 줄이고 국자로 몇 번 저어 줄랑가?",이건 뭔가요? 냄새 고약한데요.,"응, 뱀탕 끓이고 있네.",지금 아이의 상태는 어떤가요?,숨을 안쉽니다. 
투수였구만?,아버님!!,내가 한번 받아줄까?,"네, 위치가 어디신가요?",이태원 해밀턴 호텔 20층 화장실입니다. 
"아따, 빨래 제대로 짜네. 빨래 선수구만, 선수.",운동할 때 숙소에서 빨래는 도맡아서 했거든요. 큰 빨래 할 거 더 있으세요? 아니면 집안에 못질할거라도… 제가 오늘 다 해드리겠습니다.,"아이고, 고맙긴 한데 내가 아무런 도움을 못줘서 어쩐대?",다치신 분은 없나요?,네 다친사람은 없습니다. 뱀만 어떻게 해주세요. 
아드님은 100년에 한번 나올까말까한 투수라고 봅니다. 그렇다면 국가차원에서  아드님을 아끼고 키워야합니다. 제가 문화재 관리청장이 돼서 아드님을 보호하겠습니다.,관리청장은 나여.,그럼 전 부청장… 미국 운동선수들은 신체부위에 보험 드는 게 흔하답니다. 아드님 오른 쪽 어깨에 500만 원짜리 보험! 어떻습니까?,다치신분은 없나요?,"네 지금 여기에는 없는데, 불 먼저 어떻게 해야할거 같아요. "
야구 잘해서 좋은 대학 스카웃 됐을 때만해도… 10년 뒤 내 모습이 이렇게 될줄은 몰랐었다. 너도 마찬가지 아니냐? 너도 고등학교 때는 한 가닥 했었잖아?,지난 일 후회하기 시작하면 한도 끝도 없다. 마셔라!,자식 술 많이 늘었네. 옛날에 울학교랑 니네학교랑 술먹기 대결할 때 제일 먼저 나가떨어진 놈이 너였던 것 같은데…,뭐가 떨어진지는 확인해보셨나요?,상자가 낙하산에 달려서 떨어졌어요. 뭔지는 모르겠어요
어떻게 되는 거니?,계엄이 전국으로 확대된다는 얘기가 있어요.,작별인사를 하러왔다. 그게 예의일 것 같아서…,지금 물이 얼마까지 차셨어요?,많이 찻어요.
"나 서울 가면, 다시 야구 시작할까 한다. 실업팀 같은데서 입단 테스트 받아보려고. ...아직 안늦었겠지?",잘 생각했어요. 형은 야구복이 제일 잘 어울려요. ... 줄무늬 야구복만 아니면.,줄무늬? 뭔 소리야? 우리 유니폼은 대대로 파란색 민짜 무늬였어.,혹시 집 사람들은 다 대피하였나요?,잘 모르겠어요. 
결국 이렇게 만나는구나!,아버지가 좀 늦으신답니다. 먼저 식사하랍니다.,너 탁월한 선택한 거다. 울 학교에 얼마나 이쁜 여학생들 많은 줄 아니? 고기 잘먹는 건 아버님 닮았구나!,어떻게 된일인지 설명해주실수 있나요?,수영장 강사가 보라한테 술을 먹이고 모텔로 가서 성폭행을 했어요
왜 안 드십니까?,혹시 너 교회 다니니?,중학교 때까지 부활절마다 갔었어요. 삶은 계란주니까... 운동선수는 삶은 계란 많이 먹어야하거든요. 그게 다 단백질이니까.,어떻게 당하신건지 말씀해주실수 있나요?,제가 다니는 헬스장에서 트레이너가 마사지를 한다면서 몸을 더듬었어요. 
점심시간에 어디 갔다 이제 오는 거야!! 바빠 죽는 줄 알았어!,일보고 오다가 차사고 났어요...미안해요...,차 갖고 다녀? ,비행기 한대만 떨어진건가요?,네 
"뭐야, 진짜! 난 답답해 죽겠는데, 한 시간씩이나 기다리게 하구!!",미안해..... ,내 여친은… 같이 있었다면서.,"사람이 죽은거 같은데, 빨리좀 와줘봐요",신고자분 성함이 어떻게 되세요?
너 말야... 여친 걔 잊는 게 좋겠다.....,뜬금없이 그게 무슨 소리야.,걔 결혼한데. 결혼해서 이 나라 뜬대. ,부상자가 많이 있나요?,그건 봐야 알것 같아요. 빨리좀 와주세요. 
나? 지금 부산인데.... 너 가고 나도 바로 비행기 탔거든..... 왜 무슨 일 있어? ,아니.... 일은 무슨... 나 실은 지갑을 잃어버렸어. 그래서....,"그래? 어머, 어떡하다가?",폭행당한 군인은 상태가 어떤가요?,지금 코에서 피를 흘리고 쓰러져 있어요. 
저... 근데.... 돈은 어떻게 드릴까요....,그럴 필요 없어요. 그 반지 가짜니까. ,약혼반지라면서요.,그럼 가까운 지상으로 시신을 가져와주실수 있나요?,네 영흥도 부둣가로 갈게요
괜찮으세요?,예... 괜찮아요.,그럴 필요까진 없는데... ,지금 그 남성이랑 같이 있나요?,"네 지금 여기 있어요, 빨리와주세요"
그러니까.... 문자 하나 달랑 남기고 떠난 여자를 여태 찾아 다녔단 말예요?,아니 제가 직접 했다기 보다는....,게다가 남들 집 못 팔아 안달일 때 떡하니 대출 받아 집 사고요? ,친구가 폭행을 당했다는 거죠?,네
들어오세요. ,와~ 집 되게 좋네. 깨끗하고....,제가 관리는 좀 하는 편이거든요.,알겠습니다. 신고자분 성함이 어떻게 되시나요?,강지수 에요
아직 미련이 남았나봐. 예쁘게 잘 꾸며 놨네요?,혹시나 돌아올지 몰라서요.... ,돌아오길 기다린다면서 짐은 왜 싸놨어요?,신고자분 이름이랑 나이가 어떻게 되시나요?,"김민지, 10살이요"
저기.... 핸드폰 번호 좀 알려주시면 안돼요?,약혼자가 돌아왔잖아요. 심심해서 그냥 왔겠어요? ,좀 이상하게 들리겠지만 지금 막 끝내고 왔거든요? 절대 양다리는 아니거든요....,어떻게 사망한거죠?,플라스틱 제조 기계에 머리가 들어갔어요. 빨리 빼내긴 했는데 이미 늦었어요. 
사실 이 얘긴 좀 쪽팔린 얘긴데....,뭐 어때... 다 지난 얘긴데.,자기가 당한 일이 아니라 이거지? ,불이 어느정도 번졌나요?,지금 40m 정도 불이 났어요. 
형수님! 무슨 일 있으십니까? ,"아뇨, 누가 벽돌로 차 앞바퀴를 막아 놔서요.... ","차 쓰시려고 그러십니까, 형수님? ",나이대가 몇세쯤 되보이시나요?,70대로 보입니다. 
봤지? 조금만 늦었으면 평생 땅속으로 잠수 탈 뻔 한 거야.,그럼 어떡해요.... ,어떡하긴. 돈 그대로 갖다 주고 싹싹 빌어야지.....,몰래카메라가 어떤 모양이죠? ,만년필모양인데 카메라가 달려있어서 탈의하는 모습이 다 찍혔어요. 
돈 제대로 들어왔네. ,빨리 가방이나 갖다 줘요. ,여권 줘봐.,혹시 다치신분은 있으신가요?,네 다치신분들 많이 있는것 같습니다. 빨리좀 와주세요. 
너... 뭐야!,퀵....인데요.....,어....얼만데.,매몰된 사람이 있나요?,네 작업중인 근로자들이 있었던걸로 알고 있어요. 
다 끝났네? ,그러게요. ,같이 들어갈래?,지금 어디에 사람이 죽어있다는건가요?,화장실 뒤쪽에 사람이 쓰러져서 죽어있는거 같아요
"야, 구기지 말고 잘 좀 넣어.","예, 형님. ","야, 자식아. 그 형님이라는 소리 좀 하지 말라고 했지. ",심하게 다치셨나요?,떨어지면서 발에 치여서 숨을 못쉬고 있어요. 
왔어? 일찍 왔네?,길이 안 막혀서요. ,"미안해. 이런 걸 보여줘서. 원래 돈 같은 거 잘 안 만지는데, 오늘은 좀 급하게 처리할 일이 있어서. ",2번 약수터요. 그 주변 사람들한테 약수물을 마시지 말라고 전해주세요,알겠습니다. 
하하하하....!!! 그게 말이야.... 거기서 가발을 확 벗겨버리더란 말이지...,정말요? 말도 안 돼. 그렇게 사람이 많은 데서? ,"생각해 봐, 수 백 명이 지켜보고 있는데 거기서 검문한답시고 가발을 벗겼으니...","드론 지금 보관하고 계시고요, 주변에 사람이 있는지 한번만 봐주세요. ",집 주변에 아무도 없어요. 
찾았어?,"죄송합니다, 형님. 차는 있는데.....형수님은.....",알았다. ,터진지 시간이 어느정도 지났죠?,한 20~30분 지난거 같아요. 
"미안하긴 한데 이모, 철거는 원래 그렇게 하는 거야. 스트레스도 좀 풀고..",지 버릇 남 몬 준다고 몸땡이가 근질근질해서 그러는 거 아이가?,"에이, 왜 그래~. ",안에 다치신 분들은 계신가요?,연기가 많이 나서 잘 모르겠습니다. 
아직 멀었어요?!!,지금 하고 있는 거 안보여요?!! ,그러니까 아직 멀었냐고 묻고 있잖아요!!,집 주소가 어떻게 되시나요?,충남시 SK아파트 1층입니다. 
왜 그래?,어제 밤에 전화번호를 받았는데 결번이라고 뜨네?,"야, 그럼 다 튼 거야. 여자들 관심 없을 때 뻔하게 쓰는 수법이잖아. 그냥 잊어라.",환풍구에서요?,지금 행사중이신가요?
목도리 받으셨네요.,예... 덕분에....,집에 갔다가 혹시나 해서 다시 와 봤어요....,맨홀 뚜껑을 못보고 걷다가 빠진건가요?,네 그런거 같아요. 
일어나! 지금 안 일어나면 아침 없어. 빨리 씻어.,오줌 쌌어!,네가 혼자 갈아입어.,서울특별시 송파구 대림아파트 901동이요. 빨리좀 와주세요. ,알겠습니다. 
가방... 상하의... 내의... 운동화... 점퍼... 시계... 반지… 영탁금 삼십일만 오천원. 맞나 확인해 봐.,내 돈 쓴 건 아니죠?,그럴리가…,지금 숨은 쉬고 있나요??,지금 좀 불규칙하긴 하지만 쉬고 있어요. 
오줌 흐르잖아!,누나!,아이고 자식아! 우리 늦둥이 잘 있었어?,칼로 손목을 그었어요. ,지금 환자분 의식이 있는 상태인가요?
아빠는?,가게 나갔지. 일요일두 나가. 일본말 해봐봐.,일본말?,어떻게 죽이려고 하신다는 거세요?,지금 칼을 들고 쫓아오고 있어요
"하나, 둘. 하나, 둘, 셋. 잘 하지? 누나도 월드컵 봤어?",그럼.,일본 애들 열 받았겠다. 크크크. 나~ 나중에 축구 국가대표해서 돈 많이 벌 거다.,치이신분 지금 상태가 어떠신가요?,많이 안좋아요. 땅에 머리를 박은거 같아요. 빨리좀 와주세요. 
퇴근 하냐?,퇴근은? 왜 왔어?,청첩장 준다고 모이제.,안국역 1번 출구 앞 맞으시죠?,네 맞습니다. 
동생한테 공부한다고 얘기해준 거 고마워요. 내 방 그대로 둔 것도 고맙고요.,흥…,미용기술 배웠으니까 나중에 머리 제가 깎아드릴게요. 역 근처 미용실에 있어요. 언제 한번 오세요. 돈 좀 모아둔 거 있어서 지방 내려가서 미용실 하나 낼려구요.,환자분 많이 다치셨나요?,네 바닥에 머리를 부딪힌거 같아요.
와- 이 나이트클럽 형 꺼야?,어. 이런 거 세 개나 있다.,정말?,외국인이 어디서 부터 쫒아왔나요?,카페에서 커피를 마실때 부터 쭉 따라왔어요
왜 왔어? 형이 더 두들겨 패고 오래?,언제 나왔냐?,그저께. 보호관찰중이야. 건들지 마.,어디에 화상을 입으신건가요?,얼굴부터 몸까지 전부 화상을 입었어요. 
말 조심해! 돈 어쨌어?,난 무슨 돈인지도 모르겠고 두 형님들 이젠 만나고 싶지도 않아.,어떻게 해서든 오늘 구해와.,성폭행이요? 위치가 북한산 둘레길 맞으세요?,네
"자, 이게 직렬이고 이게 병렬이야. 거기 써놔. 네가 선 연결해봐.",와- 이게 더 밝네. 그럼 병렬은 10개를 연결해도 하나랑 똑같은 거야?,어.,주변에 어디 들어가 있을 곳이 없나요?,편의점이 있어요
비켜.,내가 손 턴다는 얘기 못 믿겠어요?,흥..,집 주소가 어떻게 되나요?,이천시 황금아파트 3층 2호요
이거 보이지?,네.,맛있었어? 빨리 빼줄게. 한숨 자면 아저씨가 줄에 달린 집게로 전구 쏙 빼줄 거야.,집단 구타를 하고 있다고요.,신고자분 성함 좀 알려주시겠어요?
얘기 좀 하자.,예.,아까 때린 거 미안하다.,신고자분 이름이 어떻게 되시나요?,강민정 입니다. 
웬일이냐?,어떻게든 돈 갚을 거야. 집에 찾아오지 마.,돈 갚겠다고?,언제 발견하셨죠?,지금 오전 1시에 발견했어요
내 돈 어쨌어요?,내가 갔다 줬어.,뭔데 내 돈 맘대로 갔다 줘!,인명피해는 없나요?,네 다치신 분은 없습니다. 
"근데 왜 여기 서 자? 아니다, 뻔한 거 물어봤네.",혼자 사세요?,어. ,다친사람은 없나요?,네 다친 사람은 없는거 같아요. 
동생이랑 같이 골수검사 받아보자. 일치만하면 1년 정도 사는 기간은 연장 할 수 있어.,3개월이나 1년이나 다를 거 없잖아요.,그런 식으로 얘기하지 마. 3개월하고 1년하고 어떻게 똑같아. 검사 받자.,다치신분은 상태가 어떠신가요?,지금 왼쪽 발목이 90도 돌아갔어요. 
아저씨한테 그렇게 얘기해 달라고 부탁하던가요? 그렇다면 엄마가 나한테 얘기했겠죠?,아버지가 못하게 했어.,나보고 그 말을 믿으라고요?,사람들이 많이 다쳤나요? ,네 한 20명 정도가 뒤로 떨어졌어요. 빨리와주세요.
"뭐해, 들어와. 추워, 얼른 들어와.",아저씨 만났어요.,이게 참 이상해서 검사 받는다 그래도 부모 자식간에는 확률이 높지 않아.,강도가 몇명이였나요?,2명이였어요.
무슨 볼 일이 있으셔서 이렇게 아침부터 찾아 오셨어요? 또 돈 갚으시게요? 하하하.,돈 준 게 모자라?,이젠 아저씨하고는 거래 할 거 없어요.,지금 그쪽에 학생들 몇명이 있는것 같으세요?,학생 1명 정도 있는거 같아요. 
누나!,잘 놀았어?,얼마나 재밌었는데. 놔~ 간지러워! 아빠는?,주변에 도와줄 사람이 없나요?,지금 사람들이 가고 있어요. 
아빠!,우리 아들 더 어른 된 거 같네?,어. 얼굴 왜 이래?,주변에 도와줄 사람이 없나요?,지금 구하러 가고있어요.
내일 누나랑 병원에 가자.,나 애들이랑 점심 먹고 축구하기로 했단 말이야.,아침에 가면 돼.,팔이 어느정도로 꺾였나요?,조금 완전 뒤로 꺾였어요.
예방주사 같이 병 걸리지 말라고 검사하는 거야.,누나도 검사 받는 거야?,어. 엉덩이에 주사만 맞으면 돼. 안 아파.,딸이 나이가 어떻게 되나요?,6살이요.
내일 동부경찰서 부서장 오는데 새벽까지 술 많이 먹을 거야. 애들도 형한테 불만 많고... 다 내편이야. 네가 사고치고 빵으로 도망간다고 해결될 일도 아니구. 부서장 앞에서 형 찔러.,흠- 나 혼자 독박 쓰란 얘기네.,절대 수사 못해.,다친 사람이 한명뿐인가요?,네 
내가 실패하면 형도 가만 안 둘텐데?,어떻게든 시작만 너가 하면 돼. 부서장 나가면 내가 해. 수사하면 너가 한 일로 되는 거구.,하…,몇층에서 떨어졌는지는 보셨나요?,아니요 어디서 떨어졌는지는 못봤어요. 
누나!,부엌에 있어!,나 오줌 안 쌌어! 오줌 안 쌌다고!,신고자분 성함이 어떻게 되시나요?,황정민 입니다. 
그럼 어떻게 해야 되요?,맞는 기증자 나타날 때까지 약 먹으면서 기다려야지.,입원은요?,위치가 어딘지좀 알 수 있을까요?,6번 게이트 앞 의자 아래 있어요. 가방이 좀 크고 묵직한거 같은데 뭔지는 모르겠어요. 
할 수 있겠어?,어. 어디서 먹어?,여기.,일단 가서 말려주세요.,신고자분 성함이 어떻게 되시나요?
어? 누나 일찍 왔네?,왔어?,뭐해? 진작 바꾸지.,혹시 언제 붕괴된지 아세요?,방금 무너졌어요. 빨리좀 와주세요. 
동생 자요?,자. 약을 먹는데도 끈질기게 수염이 나오네. 신경 쓰여서 깎아 버리려구. ,면도기 주세요. 제가 깎아드릴게요.,환자분 상태가 어떠세요?,총을 많이 맞아서 지금 정신이 없어요.
저 오늘 미장원 가서 잘게요.,왜?,내일 아침부터 공사해요. 아예 거기서 자는 게 속 편해요.,지금 절단되신지 얼마나 지났죠?,5분 정도 지났습니다. 
이리 나와 있어. 이따 손님들 오면 들어가도 돼.,괜찮아요.,많이 컸네. 혼자도 잘 해.,환자분 원래 허리 디스크가 있었나요?,네. 디스크 수술을 받았었는데 터졌나봐요. 
"오빠, 저 사람들 비싼 거 팔라고 일부러 그러는 거야. 딱 보면 몰라?",엄마 복잡한 병실에 지겹도록 있다 가셨는데 이제라도 널찍한 곳에서 혼자 편히 계시면 좋잖아.,그 관 얼만 줄 알아?! 지금 엄마 병원비 정산 안 된 것도 한참이야.,할머니 연세가 어떻게 되시죠?,올해로 70세 입니다. 
안 먹지?,잘 있었어?,웬일이냐?,환자분 나이가 어떻게 되세요?,24입니다. 
"가고 있다, 자식아. 가고 있어.",어디십니까?,몰라.,불이 크게 났나요?,지금 점점 번지고 있어요. 빨리와주세요. 
"오빠, 언제 와? 어른들이 상주가 자리 비웠다고 뭐라 그러잖아.",내가 오죽하면 장례 치르다 나오겠냐. ,도대체 뭔 일인데?!,근처에 29 표시판 안보이나요?,보여요 8번 표시판이요
내일부터 출근하자.,며칠 더 쉬라면서요.,그럴려고 했는데 감찰반애들 의외로 쉽게 걸리네. 서랍에 있던 현금만 압수되는 걸로 해서 잘 마무리 됐다. ,벌집 크기가 큰편인가요?,한 30cm는 되보여요 
"반장님, ..이거 장난전화 아닐까요..","아냐, 느낌 있어.",여기 없을 거 같은데..,신고자분 성함이 어떻게 되세요?,문혜란 입니다. 
어? 여긴가 보네.,인명 사고야?,아.. 네. 뺑소니사곤데 쓰러진 사람을 트렁크에 싣고 도주했답니다.,주소가 어떻게 되세요?,전북 군산시 산북동 이매 아파트 1동이요
"오빠, 이거 왔데..",신경 쓰지 마. 괜찮아.,그럼 됐고. 그리고 혹시 언니가 집 얘긴 안 해?,해운대 바다에서 친구가 상어한테 물렸다고요?,네 지금 다리가 물려서 나오질 못하고 있어요. 
야..,네?,뺑소니 자수하면... 몇 년 형이냐?,산모의 상태는 어떤가요?,많이 안좋은거 같아요. 빨리좀 와주세요
사람 죽이고도 지낼만해요? ,무슨 얘기를 하는 건지 잘 모르겠는데요..,자꾸 그러면 안쓰러워.,환자분 나이대가 어떻게 보이나요?,20대요. 
"자네, 운전 참 부드럽게 해. ",맨날 하는 게 이건데요. ,뺑소니 사건은 잘 진행돼?,정확히 어디에서 나고 있는지 모르시나요?,네 잘 모르겠어요
"차안에 있는 사람을, 그걸 못 봤다고?",예.,"사람이 쥐새끼야, 안 보였다는 게 말이 돼?",알겠습니다. 관악아파트 1층 맞죠?,네
이게 뭐냐?,우리 팀 교통딱지 빼 논겁니다. 벌금 넘어가기 전에... ,내꺼도 있냐?,할머니께서는 얼마나 다치셨나요?,머리를 심하게 다치셔서 일어나지를 못하세요. 
찾는 게 뭐야?!,열쇠요..,무슨 열쇠?,지금 환자분 상태는 어떠세요?,잘 모르겠어요. 기절해서 쓰러져있어요.
가져가. ,뭐?,알아서 하라고. 너 잡아넣고 내가 편하겠냐? ,전기공사에 한번 전화해보시겠어요? 전화번호는 33-456 입니다. ,알겠습니다. 
예약 돼 있으니까 내일 먼저 가 있어.,오빠는.. 같이 안가?,일 마치고 뒤따라갈게. ,남성분이세요?,네 맞습니다. 
"기분은 알겠는데, 기분으로 인생사냐. 공기 좋은데 가서 한 1년 푹 쉬고 있으면.. 그거 금방이다. ",지겨워요. 이제 정말 쉴게요.,"너, 퇴직금 받아 형사 어머니 가게 차려주려 한다며..? 생각은 기특한데.. 에휴.. 경찰 관두면 뭐하게, 어?",정확한 위치 모르세요?,중원계속 주차장 바로 위쪽이에요. 
"오빠, 난데.. 진짜 돈 얘기해서 미안한데... 바빠?",아냐.. 계속해봐.,한 300백 정도 빌려줄 수 없나.. 더 이상 카드 돌려막기가 안 되네...,아이를 어디서 잃어버리셨어요?,주차장에서부터 아이가 사라졌어요. 
잘못했습니다. 잘못했다구요. 근데 대체 왜 맞는지는 알고는 맞아야 할 거 아닙니까.....,너 청량리 사장한테서 작년에 5백 빌렸지? 마포에서도 5백… 그리고 홍제동에서도 5백 했고..,"저기, 그게 아니고",그걸 제가 알면 저도 여기 안있어요. ,아 네...
잠깐만...잠깐만요!,왜?,어떻게 하면 되요?,죽은 사람은 없어요?,네 친구 한명만 다쳤어요. 
난 요즘 젊은 놈들 이해가 안돼. 뭘 믿고 그렇게 퍽퍽 쓰고 카드를 긁어대는지. 그게 다 자기 피거든. 없으면 몸으로 때워서라도 갚아야 되는 게 남의 돈이야. 안 그렇냐?,누가 안갚고 싶어서 안갚나. 없으니깐 못 갚는 거지.,그럼 쓰질 말던지.,개가 사람 어디를 물었나요?,팔 쪽이요. 
좋아. 그러면....... 니가 여기 있어. 내가 가서 차를 가져올테니깐.,그건 말도 안돼죠. 가게에서 누가 처음 보는 아저씨한테 그 비싼 차키를 주겠어요? ,싫으면 관두고.,혹시 아시는 분인가요?,아니요. 모르는 사람이에요.
너 지금 어디냐?,"형, 가방은?",너 지금 어디냐구?,많이 다치셨나요? ,눈길에 미끄러지셔서 많이 다치신것 같아요. 
니가 감히 내 오토바이를 팔아? 그리고 또 함정을 파놓고 사람을 유인해? ,그건 그놈들이 시켜서 그런 거란 말이야,시킨다고 나를 팔아넘겨? 그러고도 니가 살기를 바래?,지금 상태가 어떠신지 자세히 알려주세요. ,정신을 잃고 눈에서 피가 많이 나고 있어요. 빨리좀 와주세요.
그럼 가방은?,저건........가다가 아무 파출소 앞에 던져버리면 되는 거야. 저런 건 절대로 건드려선 안돼. 잘못했다간 황천가기 십상이다.,형은 저 가방 안에 뭐가 들어있는지 궁금하지도 않아?,집 주소가 어떻게 되시죠?,서울시 강남구 테헤란로 34-3번지 2층이요. 
"형,왜 이 가방이 우리에게 나타났을까? 이거 혹시 신의 계시 아닐까?",시끄러. 헷갈리게 하지 말고 가만 있어라.,"맞어. 형, 이건 하나님이 우리에게 주는 선물일거야. 불쌍하게 아웅다웅 사는 우리에게 카드빚갚고 온전한 몸으로 살아보라고 하나님이 주시는 선물이야.",신고자분 성함이 어떻게 되세요?,홍길동 입니다. 
잠깐!,또 뭐? ,그렇게 원리원칙을 지킨다는 사람이 약속은 왜 안 지키지?,신고자분 성함이 어떻게 되세요?,강순자 입니다. 
"좋아,시간을 준다. 기회도 준다. 하지만 니가 뭘 해도 난 안한다. 난 절대 이 일에 끼어들지 않을 거야.","그래, 형은 절대로 이 일에 끼어들지마. 설사 내가 놈들에게 잡혀서 손가락이 짤리고 옆구리에 칼이 쑤욱 들어와 피가 철철 흘러도 형 이름은 절대로 말하지 않을게. ",그거야 기본이지 마.,알겠습니다. 주변에 사람이 많이 있나요?,저랑 제 아기랑 있습니다. 
그래서 열 수 있다는 거야? 없다는 거야?,열려고 한다면 못 열 것 까지는 없는데.....,그런데? ,알겠습니다. 환자분 상태가 많이 심각한가요?,네 많이 안좋아요. 빨리 안오면 죽을거 같아요. 
그게 아니고 하는 짓이랑 노는 거랑 거진 다 남자라고.,"그래? 그래도 난 저런 타입이 좋아. 딱 내 스타일이야. 캬,여기서 내 이상형의 여자를 만나다니 정말 오늘은 묘한 날이구만.",너란 놈은 참 희한한 놈이다. 좀 있으면 어떻게 될지도 모르는데 여자가 눈에 들어오냐? ,주변에 보이는 건물이나 상가가 있나요?,아니요. 창문이 없어서 아무것도 볼수가 없어요. 
가방을 갖고있나?,"누, 누구세요?",가방임자지. 쥐새끼가 훔쳐간 걸 찾으려 갔더만 니들이 훔쳐갔더만.,위치가 어디시죠?,용인 시흥구 33-45 물류센터 공사장 이예요.
"그래, 결정을 내렸나?",그보다 먼저 내 친구 좀 바꿔줘요.,니 친구는 지금 전화를 받을 수가 없어.,사람은 다치지 않았나요?,"네, 크레인만 무너졌습니다. "
큰 거 한 장.,큰 거 한 장? 그게 얼마를 말하는 거냐?,"아니, 척하면 알아들어야지. 그럼 이 대목에서 내가 작은 거 한 장 달라고 그러겠냐?",사람을 덮쳤다고요? 공사장 주소좀 알려주시겠어요?,울산광역시 동구 방어동 775 요. 빨리좀 와주세요.
